,sequence,coordination_inaccuracy,global_accuracy,global_inaccuracy,information_motion_tau,pad_actions,participant_motion_tau,performance,spatial_inaccuracy,switch_actions,temporal_inaccuracy,trigger_actions,file_id
0,wave0,1.0,4.0,8.0,0.1547157127423247,1.0,0.6029852305468191,0.05,7.0,1.0,0.0,11.0,664da983-45fe-43f0-8470-2f391c763707
1,wave1,6.0,12.0,19.0,2.0266106692693286,7.0,1.432367567829739,0.24,13.0,4.0,0.0,24.0,664da983-45fe-43f0-8470-2f391c763707
2,wave2,4.0,13.0,18.0,1.7222451039133548,6.0,1.3529533289699591,0.27,14.0,2.0,0.0,25.0,664da983-45fe-43f0-8470-2f391c763707
3,wave3,7.0,13.0,14.0,1.490757307797985,4.0,1.3564346572641113,0.24,7.0,3.0,0.0,23.0,664da983-45fe-43f0-8470-2f391c763707
4,wave4,10.0,20.0,25.0,1.328042081077002,10.0,1.6775198705519863,0.27,15.0,5.0,0.0,35.0,664da983-45fe-43f0-8470-2f391c763707
5,wave5,6.0,19.0,19.0,2.0611224424405683,7.0,1.3832281219431484,0.3,13.0,4.0,0.0,31.0,664da983-45fe-43f0-8470-2f391c763707
6,wave0,4.0,3.0,10.0,0.32846496273026254,7.0,0.33509135109311566,0.05,6.0,3.0,0.0,6.0,446bf31e-8ed0-415e-8009-326c4d3f3342
7,wave1,6.0,7.0,18.0,0.46656122953787593,13.0,0.5440463228323469,0.08,12.0,6.0,0.0,12.0,446bf31e-8ed0-415e-8009-326c4d3f3342
8,wave2,15.0,12.0,35.0,1.8329333612469727,26.0,1.0706441386524073,0.27,19.0,11.0,1.0,21.0,446bf31e-8ed0-415e-8009-326c4d3f3342
9,wave3,17.0,12.0,37.0,2.7318367746734755,23.0,0.8762757373956558,0.3,20.0,9.0,0.0,26.0,446bf31e-8ed0-415e-8009-326c4d3f3342
10,wave4,17.0,17.0,39.0,1.5868423637673754,30.0,0.8124476170851379,0.3,20.0,12.0,2.0,26.0,446bf31e-8ed0-415e-8009-326c4d3f3342
11,wave5,20.0,17.0,39.0,1.3639125396660217,32.0,0.998198618081071,0.27,18.0,13.0,1.0,24.0,446bf31e-8ed0-415e-8009-326c4d3f3342
12,wave0,0.0,3.0,7.0,0.5100402660265851,0.0,0.6066013957742981,0.05,7.0,0.0,0.0,10.0,6389ea5f-e258-4596-ae7c-1759cc866087
13,wave1,0.0,7.0,0.0,0.5307376814460268,2.0,0.6264594263572965,0.08,0.0,1.0,0.0,5.0,6389ea5f-e258-4596-ae7c-1759cc866087
14,wave2,2.0,11.0,14.0,2.098016749299933,6.0,0.8698105258089441,0.27,11.0,3.0,1.0,19.0,6389ea5f-e258-4596-ae7c-1759cc866087
15,wave3,0.0,15.0,10.0,2.1546747237592814,9.0,1.0446961080578576,0.27,10.0,4.0,0.0,16.0,6389ea5f-e258-4596-ae7c-1759cc866087
16,wave4,2.0,14.0,16.0,2.951089517983384,12.0,1.0598589862517316,0.3,14.0,6.0,0.0,18.0,6389ea5f-e258-4596-ae7c-1759cc866087
17,wave5,0.0,17.0,19.0,1.6923219017487996,13.0,0.8237622815098117,0.3,18.0,5.0,1.0,23.0,6389ea5f-e258-4596-ae7c-1759cc866087
18,wave0,0.0,3.0,0.0,0.4023434985655347,0.0,0.37131856742336783,0.05,0.0,0.0,0.0,3.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
19,wave1,4.0,3.0,13.0,0.5119607714363654,0.0,0.5126236272515123,0.08,9.0,0.0,0.0,16.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
20,wave2,0.0,3.0,3.0,0.7176614366857768,0.0,0.6169994498338096,0.07,3.0,0.0,0.0,6.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
21,wave3,0.0,4.0,69.0,0.29375104323202944,69.0,0.9518877915010089,0.05,69.0,4.0,0.0,4.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
22,wave4,28.0,11.0,78.0,1.4440665353173496,48.0,1.2431463941891363,0.24,35.0,7.0,15.0,41.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
23,wave5,28.0,15.0,125.0,1.8088745519819014,74.0,2.3231918695647944,0.27,72.0,9.0,25.0,66.0,2c5e46d2-f522-4ca8-a09d-115ac682c7f4
24,wave0,11.0,1.0,20.0,0.3341914666380219,0.0,0.34617365599857786,0.05,9.0,0.0,0.0,21.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
25,wave1,9.0,7.0,26.0,0.13934856629134706,9.0,0.3880463067017234,0.05,14.0,3.0,3.0,24.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
26,wave2,8.0,9.0,23.0,1.8104341742533403,11.0,0.40160175392447534,0.24,14.0,4.0,1.0,21.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
27,wave3,6.0,6.0,17.0,1.895841788766923,11.0,0.603564280896694,0.24,8.0,4.0,3.0,12.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
28,wave4,9.0,7.0,24.0,1.6685605261452459,8.0,0.9839710314049199,0.22,14.0,3.0,1.0,23.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
29,wave5,3.0,10.0,26.0,0.8006474592616664,15.0,0.7683144774258729,0.09,18.0,3.0,5.0,21.0,cb64fa17-8457-4c3c-9244-c809bf5ea688
30,wave0,0.0,4.0,9.0,0.518047805207808,2.0,0.5385442806176572,0.05,9.0,2.0,0.0,11.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
31,wave1,8.0,13.0,21.0,1.5916194268960826,19.0,0.9919054676821378,0.24,12.0,8.0,1.0,15.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
32,wave2,3.0,11.0,11.0,2.1563459692696547,12.0,0.596222648062398,0.27,7.0,4.0,1.0,10.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
33,wave3,5.0,11.0,9.0,2.038719582020087,6.0,0.9022273174769081,0.24,4.0,3.0,0.0,14.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
34,wave4,5.0,7.0,17.0,2.063477942178894,4.0,0.9758411273075042,0.27,12.0,2.0,0.0,20.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
35,wave5,5.0,11.0,14.0,1.3029622583042504,7.0,0.7016115753877898,0.2,9.0,3.0,0.0,18.0,44f7f460-fd9a-4755-bfb8-bb86390ffb15
36,wave0,1.0,3.0,1.0,0.3846001906097786,0.0,0.3645927254877949,0.05,0.0,0.0,0.0,4.0,4a058b26-6b6e-4b5d-9bb1-bc618393062e
